/* TID|System Type|Slot|Time|Max|Min|Average|Date */
20B_X|APN20B|SXC|PM15M|55.000000|55.000000|55.000000|2020-06-02 00:00:00
20B_X|APN20B|SCE|PM15M|55.000000|55.000000|55.000000|2020-06-02 00:00:00
20B_X|APN20B|SXC|PM1D|58.000000|54.000000|56.105999|2020-06-02 00:00:00
20B_X|APN20B|SCE|PM1D|58.000000|54.000000|56.105999|2020-06-02 00:00:00
80C|APN80A|MMA|PM15M|40.000000|39.500000|39.634602|2020-06-02 00:00:00
80C|APN80A|M03|PM15M|40.500000|39.500000|40.230801|2020-06-02 00:00:00
80C|APN80A|MXCA|PM15M|37.500000|37.500000|37.500000|2020-06-02 00:00:00
80C|APN80A|M04|PM15M|38.500000|38.500000|38.500000|2020-06-02 00:00:00
80C|APN80A|M06|PM15M|41.500000|41.500000|41.500000|2020-06-02 00:00:00
80C|APN80A|M07|PM15M|38.500000|38.500000|38.500000|2020-06-02 00:00:00
80C|APN80A|MMA|PM1D|42.000000|38.000000|40.290298|2020-06-02 00:00:00
80C|APN80A|M03|PM1D|42.500000|38.500000|41.012600|2020-06-02 00:00:00
80C|APN80A|MXCA|PM1D|40.500000|36.500000|38.993999|2020-06-02 00:00:00
80C|APN80A|M04|PM1D|41.500000|37.500000|39.834801|2020-06-02 00:00:00
80C|APN80A|M06|PM1D|44.500000|41.500000|43.015598|2020-06-02 00:00:00
80C|APN80A|M07|PM1D|41.500000|37.500000|39.611698|2020-06-02 00:00:00
