/* TID|System Type|Slot|Port|Time|in_octets|in_ok_packets|in_unicast_packets|in_non_unicast_packets|in_discard_packets|in_error_packets|in_broadcast_packets|in_multicast_packets|in_packets_64_octets|in_packets_65_to_127_octets|in_packets_128_to_255_octets|in_packets_256_to_511_octets|in_packets_512_to_1023_octets|in_packets_1024_to_1518_octets|in_packets_1519_to_max_octets|in_pause_packets|in_alignment_errors|in_fcs_errors|in_symbol_errors|out_octets|out_ok_packets|out_unicast_packets|out_non_unicast_packets|out_discard_packets|out_error_packets|out_broadcast_packets|out_multicast_packets|out_pause_packets|in_rate(Kbps)|out_rate(Kbps)|in_no_pkt_sec|out_no_pkt_sec|in_loss_ratio|out_loss_ratio|Date */
80C|APN80A|M03|P1|PM15M|87030034|862091|860928|1163|0|0|0|1163|412|861647|0|0|33|0|0|0|0|0|0|85118036|837532|836367|1165|0|0|0|1165|0|773|756|0|0|0.000000|0.000000|2020-06-04 00:00:00
80C|APN80A|M04|P1|PM15M|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|76368|1075|0|1075|0|0|0|1075|0|0|0|0|0|0|0.000000|2020-06-04 00:00:00
80C|APN80A|M04|P2|PM15M|76197|1073|0|1073|0|0|0|1073|0|1073|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.000000|0|2020-06-04 00:00:00
80C|APN80A|M06|P1|PM15M|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|83388|1165|0|1165|0|0|0|1165|0|0|0|0|0|0|0.000000|2020-06-04 00:00:00
80C|APN80A|M07|P1|PM15M|89625596|887700|886536|1164|0|0|0|1164|180|887519|0|0|0|0|0|0|0|0|0|82002187|812244|811079|1165|0|0|0|1165|0|796|728|0|0|0.000000|0.000000|2020-06-04 00:00:00
80C|APN80A|M03|P1|PM1D|8355427765|82759077|82646529|112548|0|0|0|112548|38628|82716174|184|293|3483|314|0|0|0|0|0|8325059773|80520386|80407352|113034|0|0|0|113034|0|773|770|0|0|0.000000|0.000000|2020-06-04 00:00:00
80C|APN80A|M04|P1|PM1D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7335378|103227|0|103227|0|0|0|103227|0|0|0|0|0|0|0.000000|2020-06-04 00:00:00
80C|APN80A|M04|P2|PM1D|7297822|102874|0|102874|0|0|0|102874|0|102874|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.000000|0|2020-06-04 00:00:00
80C|APN80A|M06|P1|PM1D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8009298|111867|0|111867|0|0|0|111867|0|0|0|0|0|0|0.000000|2020-06-04 00:00:00
80C|APN80A|M07|P1|PM1D|8751910534|85332630|85219522|113108|0|0|0|113108|18950|85199372|223|393|716|112975|0|0|0|0|0|7872844855|77978326|77865282|113044|0|0|0|113044|0|810|728|0|0|0.000000|0.000000|2020-06-04 00:00:00
