/* TID|System Type|Slot|Port|PM_Type|RX_Min_Power|RX_Max_Power|RX_Avg_Power|TX_Min_Power|TX_Max_Power|TX_Avg_Power|Date */
20B_X|APN20B|SXC|P9|PM15M|-40.000000|-40.000000|-40.000000|-5.989440|-5.960220|-5.989440|2020-06-03 15:30:00
20B_X|APN20B|SXC|P10|PM15M|-43.486500|-37.465900|-41.636398|-4.959370|-4.926840|-4.959370|2020-06-03 15:30:00
20B_X|APN20B|SXC|P11|PM15M|8.164730|8.164730|8.164730|8.164730|8.164730|8.164730|2020-06-03 15:30:00
20B_X|APN20B|SXC|P12|PM15M|-6.848700|-6.794380|-6.823690|-5.826940|-5.810360|-5.826940|2020-06-03 15:30:00
20B_X|APN20B|SXC|P13|PM15M|-7.690990|-7.654550|-7.666830|-4.937660|-4.905290|-4.937650|2020-06-03 15:30:00
20B_X|APN20B|SXC|P14|PM15M|-7.061520|-7.012640|-7.031100|-6.024080|-6.017130|-6.024080|2020-06-03 15:30:00
80C|APN80A|M02|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M02|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M03|P1|PM15M|-2.442780|-2.409370|-2.426950|-3.230320|-3.224840|-3.224840|2020-06-03 15:30:00
80C|APN80A|M03|P2|PM15M|-33.010300|-33.010300|-33.010300|-2.650400|-2.629660|-2.650400|2020-06-03 15:30:00
80C|APN80A|M04|P1|PM15M|-40.000000|-40.000000|-40.000000|0.894812|1.064630|0.894813|2020-06-03 15:30:00
80C|APN80A|M04|P2|PM15M|-2.789320|-2.785190|-2.787250|-3.403690|-3.373370|-3.373370|2020-06-03 15:30:00
80C|APN80A|M05|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M05|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M06|P1|PM15M|-8.161970|-8.148690|-8.156640|-6.230580|-6.223300|-6.230580|2020-06-03 15:30:00
80C|APN80A|M06|P2|PM15M|-38.864601|-38.864601|-38.864601|-6.032780|-6.027550|-6.032780|2020-06-03 15:30:00
80C|APN80A|M06|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M06|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M06|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M06|P6|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M06|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M06|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M07|P1|PM15M|-5.815860|-5.806170|-5.812090|-5.412110|-5.404570|-5.412110|2020-06-03 15:30:00
80C|APN80A|M07|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M07|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M07|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M07|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M07|P6|PM15M|-6.771610|-6.714170|-6.740010|-6.315270|-6.291170|-6.315270|2020-06-03 15:30:00
80C|APN80A|M07|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
80C|APN80A|M07|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 15:30:00
