/* TID|System Type|Slot|Port|PM_Type|RX_Min_Power|RX_Max_Power|RX_Avg_Power|TX_Min_Power|TX_Max_Power|TX_Avg_Power|Date */
80C|APN80A|M02|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M02|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M03|P1|PM15M|-2.499550|-2.459580|-2.478040|-3.224840|-3.219370|-3.219370|2020-06-03 19:15:00
80C|APN80A|M03|P2|PM15M|-33.010300|-33.010300|-33.010300|-2.646410|-2.625690|-2.646410|2020-06-03 19:15:00
80C|APN80A|M04|P1|PM15M|-40.000000|-40.000000|-40.000000|0.941915|1.216910|0.941916|2020-06-03 19:15:00
80C|APN80A|M04|P2|PM15M|-2.784370|-2.780250|-2.782540|-3.394190|-3.379030|-3.379040|2020-06-03 19:15:00
80C|APN80A|M05|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M05|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M06|P1|PM15M|-8.167290|-8.151340|-8.159740|-6.230580|-6.221480|-6.230580|2020-06-03 19:15:00
80C|APN80A|M06|P2|PM15M|-38.864601|-36.807999|-38.727600|-6.032780|-6.025820|-6.032780|2020-06-03 19:15:00
80C|APN80A|M06|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M06|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M06|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M06|P6|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M06|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M06|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M07|P1|PM15M|-5.815860|-5.809390|-5.812420|-5.410600|-5.404570|-5.410600|2020-06-03 19:15:00
80C|APN80A|M07|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M07|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M07|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M07|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M07|P6|PM15M|-6.746900|-6.689780|-6.715890|-6.315270|-6.291170|-6.315270|2020-06-03 19:15:00
80C|APN80A|M07|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
80C|APN80A|M07|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 19:15:00
