/* TID|System Type|Slot|Port|PM_Type|RX_Min_Power|RX_Max_Power|RX_Avg_Power|TX_Min_Power|TX_Max_Power|TX_Avg_Power|Date */
80C|APN80A|M02|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M02|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M03|P1|PM15M|-2.454990|-2.389750|-2.421150|-3.230320|-3.222110|-3.222110|2020-06-03 17:00:00
80C|APN80A|M03|P2|PM15M|-33.010300|-33.010300|-33.010300|-2.653600|-2.630460|-2.653600|2020-06-03 17:00:00
80C|APN80A|M04|P1|PM15M|-40.000000|-40.000000|-40.000000|0.953437|1.173040|0.953438|2020-06-03 17:00:00
80C|APN80A|M04|P2|PM15M|-2.791790|-2.779420|-2.785490|-3.389450|-3.370530|-3.370530|2020-06-03 17:00:00
80C|APN80A|M05|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M05|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M06|P1|PM15M|-8.164630|-8.151340|-8.159210|-6.226940|-6.223300|-6.226940|2020-06-03 17:00:00
80C|APN80A|M06|P2|PM15M|-38.864601|-36.807999|-38.725399|-6.034520|-6.029290|-6.034520|2020-06-03 17:00:00
80C|APN80A|M06|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M06|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M06|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M06|P6|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M06|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M06|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M07|P1|PM15M|-5.817480|-5.804550|-5.810550|-5.413620|-5.406080|-5.413620|2020-06-03 17:00:00
80C|APN80A|M07|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M07|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M07|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M07|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M07|P6|PM15M|-6.759230|-6.667540|-6.715140|-6.315270|-6.291170|-6.315270|2020-06-03 17:00:00
80C|APN80A|M07|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
80C|APN80A|M07|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 17:00:00
