/* TID|System Type|Slot|Port|PM_Type|RX_Min_Power|RX_Max_Power|RX_Avg_Power|TX_Min_Power|TX_Max_Power|TX_Avg_Power|Date */
80C|APN80A|M02|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M02|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M03|P1|PM15M|-2.371710|-2.368720|-2.370190|-3.220280|-3.215730|-3.215730|2020-06-04 00:00:00
80C|APN80A|M03|P2|PM15M|-33.010300|-33.010300|-33.010300|-2.640820|-2.625690|-2.640820|2020-06-04 00:00:00
80C|APN80A|M04|P1|PM15M|-40.000000|-40.000000|-40.000000|0.961102|1.091060|0.961103|2020-06-04 00:00:00
80C|APN80A|M04|P2|PM15M|-2.810830|-2.809170|-2.810290|-3.392290|-3.371480|-3.371480|2020-06-04 00:00:00
80C|APN80A|M05|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M05|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P1|PM15M|-8.196680|-8.183300|-8.187940|-6.228760|-6.221480|-6.228760|2020-06-04 00:00:00
80C|APN80A|M06|P2|PM15M|-38.864601|-36.807999|-38.535702|-6.032780|-6.027550|-6.032780|2020-06-04 00:00:00
80C|APN80A|M06|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P6|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M07|P1|PM15M|-5.817480|-5.806170|-5.810430|-5.410600|-5.404570|-5.410600|2020-06-04 00:00:00
80C|APN80A|M07|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M07|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M07|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M07|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M07|P6|PM15M|-6.679660|-6.623410|-6.655880|-6.315270|-6.291170|-6.315270|2020-06-04 00:00:00
80C|APN80A|M07|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M07|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M02|P1|PM1D|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M02|P2|PM1D|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M03|P1|PM1D|-2.695410|-2.363470|-2.422340|-3.255060|-3.213000|-3.213000|2020-06-04 00:00:00
80C|APN80A|M03|P2|PM1D|-33.010300|-32.218498|-32.999802|-2.657600|-2.621720|-2.657600|2020-06-04 00:00:00
80C|APN80A|M04|P1|PM1D|-40.000000|-40.000000|-40.000000|0.819591|1.318110|0.819592|2020-06-04 00:00:00
80C|APN80A|M04|P2|PM1D|-2.815810|-2.779420|-2.794920|-3.612110|-3.365820|-3.365820|2020-06-04 00:00:00
80C|APN80A|M05|P1|PM1D|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M05|P2|PM1D|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P1|PM1D|-8.196680|-8.116980|-8.166780|-6.236050|-6.217840|-6.236050|2020-06-04 00:00:00
80C|APN80A|M06|P2|PM1D|-38.864601|-35.251301|-38.706299|-6.036260|-6.022340|-6.036260|2020-06-04 00:00:00
80C|APN80A|M06|P3|PM1D|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P4|PM1D|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P5|PM1D|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
80C|APN80A|M06|P6|PM1D|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 00:00:00
