/* TID|System Type|Slot|Port|Time|Name|ing_packets|ing_bytes|ing_rate(Kbps)|egr_packets|egr_bytes|egr_rate(Kbps)|Date */
80C|APN80A|M07|P1|PM15M|(TN_1_80C_20B_X_16)-(T1-L1)|296050|30501250|271|270899|27906197|0|2020-06-04 00:00:00
80C|APN80A|M03|P1|PM15M|(TN_1_80C_20B_X_16_P)-(T1-L2)|295322|30410786|270|270180|27824400|0|2020-06-04 00:00:00
80C|APN80A|M07|P1|PM15M|(TN_1_80C_20B_X_18_test2)-(T2-L1)|295159|30401377|270|270000|27810000|0|2020-06-04 00:00:00
80C|APN80A|M03|P1|PM15M|(TN_1_80C_20B_X_18_test2_P)-(T2-L2)|295338|30412434|270|270180|27824400|0|2020-06-04 00:00:00
80C|APN80A|M07|P1|PM1D|(TN_1_80C_20B_X_16)-(T1-L1)|28419921|2928028842|271|26006338|2678998410|0|2020-06-04 00:00:00
80C|APN80A|M03|P1|PM1D|(TN_1_80C_20B_X_16_P)-(T1-L2)|28350806|2919424702|270|25937217|2671135957|0|2020-06-04 00:00:00
80C|APN80A|M07|P1|PM1D|(TN_1_80C_20B_X_18_test2)-(T2-L1)|28333689|2918369967|270|25919939|2669753717|0|2020-06-04 00:00:00
80C|APN80A|M03|P1|PM1D|(TN_1_80C_20B_X_18_test2_P)-(T2-L2)|28350894|2919433766|270|25937218|2671136037|0|2020-06-04 00:00:00
