/* TID|System Type|Slot|Time|Max|Min|Average|Date */
80C|APN80A|MMA|PM15M|35.500000|35.500000|35.500000|2020-06-04 00:00:00
80C|APN80A|M03|PM15M|36.500000|36.500000|36.500000|2020-06-04 00:00:00
80C|APN80A|MXCA|PM15M|34.000000|34.000000|34.000000|2020-06-04 00:00:00
80C|APN80A|M04|PM15M|35.500000|35.500000|35.500000|2020-06-04 00:00:00
80C|APN80A|M06|PM15M|39.500000|39.500000|39.500000|2020-06-04 00:00:00
80C|APN80A|M07|PM15M|35.500000|35.500000|35.500000|2020-06-04 00:00:00
80C|APN80A|MMA|PM1D|43.500000|35.000000|39.357700|2020-06-04 00:00:00
80C|APN80A|M03|PM1D|43.500000|36.500000|40.090500|2020-06-04 00:00:00
80C|APN80A|MXCA|PM1D|42.000000|34.000000|38.181400|2020-06-04 00:00:00
80C|APN80A|M04|PM1D|42.500000|35.500000|39.048401|2020-06-04 00:00:00
80C|APN80A|M06|PM1D|45.500000|39.500000|42.787701|2020-06-04 00:00:00
80C|APN80A|M07|PM1D|41.500000|35.500000|38.742001|2020-06-04 00:00:00
