/* TID|System Type|Slot|Port|Time|in_octets|in_ok_packets|in_unicast_packets|in_non_unicast_packets|in_discard_packets|in_error_packets|in_broadcast_packets|in_multicast_packets|in_packets_64_octets|in_packets_65_to_127_octets|in_packets_128_to_255_octets|in_packets_256_to_511_octets|in_packets_512_to_1023_octets|in_packets_1024_to_1518_octets|in_packets_1519_to_max_octets|in_pause_packets|in_alignment_errors|in_fcs_errors|in_symbol_errors|out_octets|out_ok_packets|out_unicast_packets|out_non_unicast_packets|out_discard_packets|out_error_packets|out_broadcast_packets|out_multicast_packets|out_pause_packets|in_rate(Kbps)|out_rate(Kbps)|in_no_pkt_sec|out_no_pkt_sec|in_loss_ratio|out_loss_ratio|Date */
20B_X|APN20B|SXC|P12|PM15M|85200806|811617|810431|1186|0|0|0|1186|40|811521|2|9|43|2|0|0|0|0|0|95924721|889124|887928|1196|0|0|0|1196|0|757|852|0|0|0.000000|0.000000|2020-06-02 00:00:00
20B_X|APN20B|SXC|P14|PM15M|85266258|812298|811104|1194|0|0|0|1194|26|812249|2|10|9|2|0|0|0|0|0|95560806|889566|888373|1193|0|0|0|1193|0|757|849|0|0|0.000000|0.000000|2020-06-02 00:00:00
20B_X|APN20B|SXC|P12|PM1D|8178909017|77914730|77802134|112596|0|0|0|112596|4232|77905787|167|417|3945|182|0|0|0|0|0|9217384384|85367966|85254733|113233|0|0|0|113233|0|757|853|0|0|0.000000|0.000000|2020-06-02 00:00:00
20B_X|APN20B|SXC|P14|PM1D|8184783541|77978982|77865813|113169|0|0|0|113167|2574|77975408|217|469|205|107|0|0|0|0|0|9173799710|85395434|85282121|113313|0|0|0|113313|0|757|849|0|0|0.000000|0.000000|2020-06-02 00:00:00
80C|APN80A|M03|P1|PM15M|87036389|862046|860862|1184|0|0|0|1184|402|861589|2|8|42|2|0|0|0|0|0|87444625|839365|838169|1196|0|0|0|1196|0|773|777|0|0|0.000000|0.000000|2020-06-02 00:00:00
80C|APN80A|M04|P1|PM15M|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|76796|1079|0|1079|0|0|0|1079|0|0|0|0|0|0|0.000000|2020-06-02 00:00:00
80C|APN80A|M04|P2|PM15M|75876|1070|0|1070|0|0|0|1070|0|1070|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.000000|0|2020-06-02 00:00:00
80C|APN80A|M06|P1|PM15M|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|83816|1169|0|1169|0|0|0|1169|0|0|0|0|0|0|0.000000|2020-06-02 00:00:00
80C|APN80A|M07|P1|PM15M|92019215|889587|888393|1194|0|0|0|1194|206|887528|4|13|14|1822|0|0|0|0|0|82017736|812305|811110|1195|0|0|0|1195|0|817|729|0|0|0.000000|0.000000|2020-06-02 00:00:00
80C|APN80A|M03|P1|PM1D|8355511025|82759506|82646877|112629|0|0|0|112629|38774|82716038|206|408|3915|164|0|0|0|0|0|8405541498|80582929|80469811|113118|0|0|0|113118|0|773|778|0|0|0.000000|0.000000|2020-06-02 00:00:00
80C|APN80A|M04|P1|PM1D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7334308|103217|0|103217|0|0|0|103217|0|0|0|0|0|0|0.000000|2020-06-02 00:00:00
80C|APN80A|M04|P2|PM1D|7294869|102846|0|102846|0|0|0|102846|0|102846|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.000000|0|2020-06-02 00:00:00
80C|APN80A|M06|P1|PM1D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8008228|111857|0|111857|0|0|0|111857|0|0|0|0|0|0|0.000000|2020-06-02 00:00:00
80C|APN80A|M07|P1|PM1D|8832299581|85395910|85282596|113314|0|0|0|113314|19854|85199894|305|562|998|174297|0|0|0|0|0|7872908590|77979386|77866218|113168|0|0|0|113168|0|817|728|0|0|0.000000|0.000000|2020-06-02 00:00:00
