/* TID|System Type|Slot|Port|PM_Type|RX_Min_Power|RX_Max_Power|RX_Avg_Power|TX_Min_Power|TX_Max_Power|TX_Avg_Power|Date */
80C|APN80A|M02|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M02|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M03|P1|PM15M|-2.374720|-2.365720|-2.369570|-3.220280|-3.215730|-3.215730|2020-06-03 23:15:00
80C|APN80A|M03|P2|PM15M|-33.010300|-33.010300|-33.010300|-2.637630|-2.621720|-2.637630|2020-06-03 23:15:00
80C|APN80A|M04|P1|PM15M|-40.000000|-40.000000|-40.000000|0.894812|1.064630|0.894813|2020-06-03 23:15:00
80C|APN80A|M04|P2|PM15M|-2.813320|-2.812490|-2.813040|-3.391350|-3.371480|-3.371480|2020-06-03 23:15:00
80C|APN80A|M05|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M05|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M06|P1|PM15M|-8.196680|-8.185970|-8.191060|-6.226940|-6.221480|-6.226940|2020-06-03 23:15:00
80C|APN80A|M06|P2|PM15M|-38.864601|-36.807999|-38.727501|-6.032780|-6.025820|-6.032780|2020-06-03 23:15:00
80C|APN80A|M06|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M06|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M06|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M06|P6|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M06|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M06|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M07|P1|PM15M|-5.817480|-5.809390|-5.812800|-5.410600|-5.404570|-5.410600|2020-06-03 23:15:00
80C|APN80A|M07|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M07|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M07|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M07|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M07|P6|PM15M|-6.759230|-6.679660|-6.736530|-6.315270|-6.291170|-6.315270|2020-06-03 23:15:00
80C|APN80A|M07|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
80C|APN80A|M07|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:15:00
