/* TID|System Type|Slot|Time|Max|Min|Average|Date */
20B_X|APN20B|SXC|PM15M|55.000000|55.000000|55.000000|2020-06-02 10:00:00
20B_X|APN20B|SCE|PM15M|55.000000|55.000000|55.000000|2020-06-02 10:00:00
80C|APN80A|MMA|PM15M|40.000000|39.500000|39.779301|2020-06-02 10:00:00
80C|APN80A|M03|PM15M|40.500000|39.500000|40.058701|2020-06-02 10:00:00
80C|APN80A|MXCA|PM15M|38.500000|38.000000|38.220001|2020-06-02 10:00:00
80C|APN80A|M04|PM15M|38.500000|38.500000|38.500000|2020-06-02 10:00:00
80C|APN80A|M06|PM15M|42.500000|41.500000|42.058701|2020-06-02 10:00:00
80C|APN80A|M07|PM15M|38.500000|38.500000|38.500000|2020-06-02 10:00:00
