/* TID|System Type|Slot|Port|Time|Name|ing_packets|ing_bytes|ing_rate(Kbps)|egr_packets|egr_bytes|egr_rate(Kbps)|Date */
80C|APN80A|M07|P1|PM15M|(TN_1_80C_20B_X_16)-(T1-L1)|296033|30499499|271|270902|27906506|0|2020-06-03 00:00:00
80C|APN80A|M03|P1|PM15M|(TN_1_80C_20B_X_16_P)-(T1-L2)|295328|30411404|270|270182|27824606|0|2020-06-03 00:00:00
80C|APN80A|M07|P1|PM15M|(TN_1_80C_20B_X_18_test2)-(T2-L1)|295140|30399420|270|270001|27810103|0|2020-06-03 00:00:00
80C|APN80A|M03|P1|PM15M|(TN_1_80C_20B_X_18_test2_P)-(T2-L2)|295340|30412640|270|270181|27824503|0|2020-06-03 00:00:00
80C|APN80A|M07|P1|PM1D|(TN_1_80C_20B_X_16)-(T1-L1)|18356999|1891270442|270|16798304|1730447352|0|2020-06-03 00:00:00
80C|APN80A|M03|P1|PM1D|(TN_1_80C_20B_X_16_P)-(T1-L2)|18313422|1885827524|269|16754252|1725432407|0|2020-06-03 00:00:00
80C|APN80A|M07|P1|PM1D|(TN_1_80C_20B_X_18_test2)-(T2-L1)|18301953|1885101159|269|16742784|1724506752|0|2020-06-03 00:00:00
80C|APN80A|M03|P1|PM1D|(TN_1_80C_20B_X_18_test2_P)-(T2-L2)|18312758|1885756432|269|16753943|1725399357|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P12|PM15M|(kkk00011)-(T24-L1)|269991|28349055|251|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P14|PM15M|(kkk00011_P)-(T24-L2)|270171|28363815|252|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P14|PM15M|(TN_1_80C_20B_X_16)-(T1-L1)|270890|28447050|252|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P12|PM15M|(TN_1_80C_20B_X_16_P)-(T1-L2)|270170|28363710|252|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P14|PM15M|(TN_1_80C_20B_X_18_test2)-(T2-L1)|269990|28348950|251|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P12|PM15M|(TN_1_80C_20B_X_18_test2_P)-(T2-L2)|270170|28363710|252|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P12|PM1D|(kkk00011)-(T24-L1)|25874123|2716782915|251|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P14|PM1D|(kkk00011_P)-(T24-L2)|25888738|2717920832|251|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P14|PM1D|(TN_1_80C_20B_X_16)-(T1-L1)|25957325|2725862881|252|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P12|PM1D|(TN_1_80C_20B_X_16_P)-(T1-L2)|25888936|2717942753|251|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P14|PM1D|(TN_1_80C_20B_X_18_test2)-(T2-L1)|25871386|2716495635|251|0|0|0|2020-06-03 00:00:00
20B_X|APN20B|SXC|P12|PM1D|(TN_1_80C_20B_X_18_test2_P)-(T2-L2)|25888637|2717910158|251|0|0|0|2020-06-03 00:00:00
