/* TID|System Type|Slot|Time|Max|Min|Average|Date */
80C|APN80A|MMA|PM15M|38.000000|38.000000|38.000000|2020-06-03 13:45:00
80C|APN80A|M03|PM15M|38.500000|38.500000|38.500000|2020-06-03 13:45:00
80C|APN80A|MXCA|PM15M|36.500000|36.500000|36.500000|2020-06-03 13:45:00
80C|APN80A|M04|PM15M|37.500000|36.500000|37.162498|2020-06-03 13:45:00
80C|APN80A|M06|PM15M|40.500000|40.500000|40.500000|2020-06-03 13:45:00
80C|APN80A|M07|PM15M|37.500000|37.500000|37.500000|2020-06-03 13:45:00
20B_X|APN20B|SXC|PM15M|54.000000|54.000000|54.000000|2020-06-03 13:45:00
20B_X|APN20B|SCE|PM15M|54.000000|54.000000|54.000000|2020-06-03 13:45:00
