/* TID|System Type|Slot|Port|Time|Name|ing_packets|ing_bytes|ing_rate(Kbps)|egr_packets|egr_bytes|egr_rate(Kbps)|Date */
80C|APN80A|M07|P1|PM15M|(TN_1_80C_20B_X_16)-(T1-L1)|296081|30504392|271|270899|27906197|0|2020-06-01 12:00:00
80C|APN80A|M03|P1|PM15M|(TN_1_80C_20B_X_16_P)-(T1-L2)|295323|30410889|270|270179|27824297|0|2020-06-01 12:00:00
80C|APN80A|M07|P1|PM15M|(TN_1_80C_20B_X_18_test2)-(T2-L1)|295162|30401686|270|269999|27809897|0|2020-06-01 12:00:00
80C|APN80A|M03|P1|PM15M|(TN_1_80C_20B_X_18_test2_P)-(T2-L2)|295274|30405842|270|270180|27824400|0|2020-06-01 12:00:00
20B_X|APN20B|SXC|P12|PM15M|(kkk00011)-(T24-L1)|269985|28348320|251|0|0|0|2020-06-01 12:00:00
20B_X|APN20B|SXC|P14|PM15M|(kkk00011_P)-(T24-L2)|270164|28363080|252|0|0|0|2020-06-01 12:00:00
20B_X|APN20B|SXC|P14|PM15M|(TN_1_80C_20B_X_16)-(T1-L1)|270883|28446315|252|0|0|0|2020-06-01 12:00:00
20B_X|APN20B|SXC|P12|PM15M|(TN_1_80C_20B_X_16_P)-(T1-L2)|270163|28362975|252|0|0|0|2020-06-01 12:00:00
20B_X|APN20B|SXC|P14|PM15M|(TN_1_80C_20B_X_18_test2)-(T2-L1)|269983|28348215|251|0|0|0|2020-06-01 12:00:00
20B_X|APN20B|SXC|P12|PM15M|(TN_1_80C_20B_X_18_test2_P)-(T2-L2)|270163|28362975|252|0|0|0|2020-06-01 12:00:00
