/* TID|System Type|Slot|Port|PM_Type|RX_Min_Power|RX_Max_Power|RX_Avg_Power|TX_Min_Power|TX_Max_Power|TX_Avg_Power|Date */
80C|APN80A|M02|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M02|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M03|P1|PM15M|-2.394270|-2.387490|-2.390700|-3.222110|-3.215730|-3.215730|2020-06-04 03:00:00
80C|APN80A|M03|P2|PM15M|-33.010300|-33.010300|-33.010300|-2.640020|-2.624890|-2.640020|2020-06-04 03:00:00
80C|APN80A|M04|P1|PM15M|-40.000000|-40.000000|-40.000000|0.945759|1.194870|0.945760|2020-06-04 03:00:00
80C|APN80A|M04|P2|PM15M|-2.804200|-2.800890|-2.802380|-3.394190|-3.379030|-3.379040|2020-06-04 03:00:00
80C|APN80A|M05|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M05|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M06|P1|PM15M|-8.183300|-8.169950|-8.177320|-6.228760|-6.219660|-6.228760|2020-06-04 03:00:00
80C|APN80A|M06|P2|PM15M|-38.864601|-36.807999|-38.725300|-6.032780|-6.025820|-6.032780|2020-06-04 03:00:00
80C|APN80A|M06|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M06|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M06|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M06|P6|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M06|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M06|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M07|P1|PM15M|-5.812620|-5.801320|-5.806840|-5.415130|-5.406080|-5.415130|2020-06-04 03:00:00
80C|APN80A|M07|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M07|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M07|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M07|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M07|P6|PM15M|-6.746900|-6.689780|-6.708450|-6.315270|-6.291170|-6.315270|2020-06-04 03:00:00
80C|APN80A|M07|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
80C|APN80A|M07|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-04 03:00:00
