/* TID|System Type|Slot|Port|PM_Type|RX_Min_Power|RX_Max_Power|RX_Avg_Power|TX_Min_Power|TX_Max_Power|TX_Avg_Power|Date */
80C|APN80A|M02|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M02|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M03|P1|PM15M|-2.369470|-2.365720|-2.367590|-3.218460|-3.213910|-3.213910|2020-06-03 23:45:00
80C|APN80A|M03|P2|PM15M|-33.010300|-32.218498|-32.957401|-2.640020|-2.625690|-2.640020|2020-06-03 23:45:00
80C|APN80A|M04|P1|PM15M|-40.000000|-40.000000|-40.000000|0.933867|1.135760|0.933868|2020-06-03 23:45:00
80C|APN80A|M04|P2|PM15M|-2.812490|-2.810000|-2.811540|-3.396090|-3.374310|-3.374310|2020-06-03 23:45:00
80C|APN80A|M05|P1|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M05|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M06|P1|PM15M|-8.196680|-8.183300|-8.189370|-6.228760|-6.217840|-6.228760|2020-06-03 23:45:00
80C|APN80A|M06|P2|PM15M|-38.864601|-36.807999|-38.727699|-6.032780|-6.025820|-6.032780|2020-06-03 23:45:00
80C|APN80A|M06|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M06|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M06|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M06|P6|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M06|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M06|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M07|P1|PM15M|-5.815860|-5.809390|-5.812560|-5.409090|-5.404570|-5.409090|2020-06-03 23:45:00
80C|APN80A|M07|P2|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M07|P3|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M07|P4|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M07|P5|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M07|P6|PM15M|-6.714170|-6.657470|-6.681390|-6.315270|-6.291170|-6.315270|2020-06-03 23:45:00
80C|APN80A|M07|P7|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
80C|APN80A|M07|P8|PM15M|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|-40.000000|2020-06-03 23:45:00
